"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2406","Тест на авторизацию","chromium","Sat Dec 21 10:17:26 GMT 2024","passed","Sat Dec 21 10:17:28 GMT 2024","E2E тесты","e2e.spec.js","",""
"","191","Пользователь не может зарегистрироваться в системе без Password","chromium","Sat Dec 21 10:17:20 GMT 2024","passed","Sat Dec 21 10:17:20 GMT 2024","API тесты","api.spec.js","",""
"","3176","Тест на логаут","chromium","Sat Dec 21 10:17:28 GMT 2024","passed","Sat Dec 21 10:17:32 GMT 2024","E2E тесты","e2e.spec.js","",""
"","3319","Тест на регистрацию","chromium","Sat Dec 21 10:17:23 GMT 2024","passed","Sat Dec 21 10:17:26 GMT 2024","E2E тесты","e2e.spec.js","",""
"","2321","Тест на поиск","chromium","Sat Dec 21 10:17:20 GMT 2024","passed","Sat Dec 21 10:17:22 GMT 2024","E2E тесты","e2e.spec.js","",""
"","193","Пользователь не может зарегистрироваться в системе без Email","chromium","Sat Dec 21 10:17:19 GMT 2024","passed","Sat Dec 21 10:17:19 GMT 2024","API тесты","api.spec.js","",""
"","178","Пользователь не может зарегистрироваться в системе без Name","chromium","Sat Dec 21 10:17:20 GMT 2024","passed","Sat Dec 21 10:17:20 GMT 2024","API тесты","api.spec.js","",""
"","822","Пользователь может зарегистрироваться в системе заполнив обязательные поля","chromium","Sat Dec 21 10:17:18 GMT 2024","passed","Sat Dec 21 10:17:19 GMT 2024","API тесты","api.spec.js","",""
"","3349","Нельзя залогиниться незарегистрированным пользователем","chromium","Sat Dec 21 10:17:32 GMT 2024","passed","Sat Dec 21 10:17:35 GMT 2024","E2E тесты","e2e.spec.js","",""
"","236","Пользователь может создать новую компанию","chromium","Sat Dec 21 10:17:20 GMT 2024","passed","Sat Dec 21 10:17:20 GMT 2024","API тесты","api.spec.js","",""
