"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","244","Пользователь может создать новую компанию","chromium","Sat Dec 21 10:12:47 GMT 2024","passed","Sat Dec 21 10:12:47 GMT 2024","API тесты","api.spec.js","",""
"","185","Пользователь не может зарегистрироваться в системе без Email","chromium","Sat Dec 21 10:12:46 GMT 2024","passed","Sat Dec 21 10:12:46 GMT 2024","API тесты","api.spec.js","",""
"","3246","Тест на регистрацию","chromium","Sat Dec 21 10:12:51 GMT 2024","passed","Sat Dec 21 10:12:54 GMT 2024","E2E тесты","e2e.spec.js","",""
"","202","Пользователь не может зарегистрироваться в системе без Name","chromium","Sat Dec 21 10:12:46 GMT 2024","passed","Sat Dec 21 10:12:47 GMT 2024","API тесты","api.spec.js","",""
"","2394","Тест на авторизацию","chromium","Sat Dec 21 10:12:54 GMT 2024","passed","Sat Dec 21 10:12:57 GMT 2024","E2E тесты","e2e.spec.js","",""
"","1400","Тест на поиск","chromium","Sat Dec 21 10:12:47 GMT 2024","passed","Sat Dec 21 10:12:48 GMT 2024","E2E тесты","e2e.spec.js","",""
"","197","Пользователь не может зарегистрироваться в системе без Password","chromium","Sat Dec 21 10:12:47 GMT 2024","passed","Sat Dec 21 10:12:47 GMT 2024","API тесты","api.spec.js","",""
"","665","Пользователь может зарегистрироваться в системе заполнив обязательные поля","chromium","Sat Dec 21 10:12:46 GMT 2024","passed","Sat Dec 21 10:12:46 GMT 2024","API тесты","api.spec.js","",""
"","3145","Тест на логаут","chromium","Sat Dec 21 10:12:57 GMT 2024","passed","Sat Dec 21 10:13:00 GMT 2024","E2E тесты","e2e.spec.js","",""
"","4527","Нельзя залогиниться незарегистрированным пользователем","chromium","Sat Dec 21 10:13:00 GMT 2024","passed","Sat Dec 21 10:13:04 GMT 2024","E2E тесты","e2e.spec.js","",""
