"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","166","Пользователь не может зарегистрироваться в системе без Password","chromium","Fri Dec 20 13:13:59 GMT 2024","passed","Fri Dec 20 13:13:59 GMT 2024","API тесты","api.spec.js","",""
"","2870","Тест на логаут","chromium","Fri Dec 20 13:14:06 GMT 2024","passed","Fri Dec 20 13:14:09 GMT 2024","E2E тесты","e2e.spec.js","",""
"","2352","Тест на авторизацию","chromium","Fri Dec 20 13:14:04 GMT 2024","passed","Fri Dec 20 13:14:06 GMT 2024","E2E тесты","e2e.spec.js","",""
"","3383","Тест на регистрацию","chromium","Fri Dec 20 13:14:01 GMT 2024","passed","Fri Dec 20 13:14:04 GMT 2024","E2E тесты","e2e.spec.js","",""
"","1650","Нельзя залогиниться незарегистрированным пользователем","chromium","Fri Dec 20 13:14:09 GMT 2024","passed","Fri Dec 20 13:14:11 GMT 2024","E2E тесты","e2e.spec.js","",""
"","164","Пользователь не может зарегистрироваться в системе без Name","chromium","Fri Dec 20 13:13:58 GMT 2024","passed","Fri Dec 20 13:13:59 GMT 2024","API тесты","api.spec.js","",""
"","202","Пользователь может создать новую компанию","chromium","Fri Dec 20 13:13:59 GMT 2024","passed","Fri Dec 20 13:13:59 GMT 2024","API тесты","api.spec.js","",""
"","636","Пользователь может зарегистрироваться в системе заполнив обязательные поля","chromium","Fri Dec 20 13:13:58 GMT 2024","passed","Fri Dec 20 13:13:58 GMT 2024","API тесты","api.spec.js","",""
"","157","Пользователь не может зарегистрироваться в системе без Email","chromium","Fri Dec 20 13:13:58 GMT 2024","passed","Fri Dec 20 13:13:58 GMT 2024","API тесты","api.spec.js","",""
"","1345","Тест на поиск","chromium","Fri Dec 20 13:13:59 GMT 2024","passed","Fri Dec 20 13:14:00 GMT 2024","E2E тесты","e2e.spec.js","",""
