"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2526","Тест на авторизацию","chromium","Sat Dec 21 10:17:47 GMT 2024","passed","Sat Dec 21 10:17:49 GMT 2024","E2E тесты","e2e.spec.js","",""
"","203","Пользователь не может зарегистрироваться в системе без Password","chromium","Sat Dec 21 10:17:40 GMT 2024","passed","Sat Dec 21 10:17:41 GMT 2024","API тесты","api.spec.js","",""
"","236","Пользователь не может зарегистрироваться в системе без Name","chromium","Sat Dec 21 10:17:40 GMT 2024","passed","Sat Dec 21 10:17:40 GMT 2024","API тесты","api.spec.js","",""
"","3265","Тест на логаут","chromium","Sat Dec 21 10:17:49 GMT 2024","passed","Sat Dec 21 10:17:53 GMT 2024","E2E тесты","e2e.spec.js","",""
"","267","Пользователь может создать новую компанию","chromium","Sat Dec 21 10:17:41 GMT 2024","passed","Sat Dec 21 10:17:41 GMT 2024","API тесты","api.spec.js","",""
"","1868","Нельзя залогиниться незарегистрированным пользователем","chromium","Sat Dec 21 10:17:53 GMT 2024","passed","Sat Dec 21 10:17:54 GMT 2024","E2E тесты","e2e.spec.js","",""
"","217","Пользователь не может зарегистрироваться в системе без Email","chromium","Sat Dec 21 10:17:40 GMT 2024","passed","Sat Dec 21 10:17:40 GMT 2024","API тесты","api.spec.js","",""
"","1462","Пользователь может зарегистрироваться в системе заполнив обязательные поля","chromium","Sat Dec 21 10:17:39 GMT 2024","passed","Sat Dec 21 10:17:40 GMT 2024","API тесты","api.spec.js","",""
"","1527","Тест на поиск","chromium","Sat Dec 21 10:17:41 GMT 2024","passed","Sat Dec 21 10:17:42 GMT 2024","E2E тесты","e2e.spec.js","",""
"","3490","Тест на регистрацию","chromium","Sat Dec 21 10:17:43 GMT 2024","passed","Sat Dec 21 10:17:47 GMT 2024","E2E тесты","e2e.spec.js","",""
