"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3497","Тест на регистрацию","chromium","Sat Dec 21 09:42:05 GMT 2024","passed","Sat Dec 21 09:42:08 GMT 2024","E2E тесты","e2e.spec.js","",""
"","3352","Тест на логаут","chromium","Sat Dec 21 09:42:11 GMT 2024","passed","Sat Dec 21 09:42:14 GMT 2024","E2E тесты","e2e.spec.js","",""
"","1833","Нельзя залогиниться незарегистрированным пользователем","chromium","Sat Dec 21 09:42:14 GMT 2024","passed","Sat Dec 21 09:42:16 GMT 2024","E2E тесты","e2e.spec.js","",""
"","237","Пользователь не может зарегистрироваться в системе без Password","chromium","Sat Dec 21 09:42:02 GMT 2024","passed","Sat Dec 21 09:42:02 GMT 2024","API тесты","api.spec.js","",""
"","271","Пользователь не может зарегистрироваться в системе без Email","chromium","Sat Dec 21 09:42:02 GMT 2024","passed","Sat Dec 21 09:42:02 GMT 2024","API тесты","api.spec.js","",""
"","204","Пользователь не может зарегистрироваться в системе без Name","chromium","Sat Dec 21 09:42:02 GMT 2024","passed","Sat Dec 21 09:42:02 GMT 2024","API тесты","api.spec.js","",""
"","660","Пользователь может зарегистрироваться в системе заполнив обязательные поля","chromium","Sat Dec 21 09:42:01 GMT 2024","passed","Sat Dec 21 09:42:02 GMT 2024","API тесты","api.spec.js","",""
"","1876","Тест на поиск","chromium","Sat Dec 21 09:42:03 GMT 2024","passed","Sat Dec 21 09:42:04 GMT 2024","E2E тесты","e2e.spec.js","",""
"","312","Пользователь может создать новую компанию","chromium","Sat Dec 21 09:42:02 GMT 2024","passed","Sat Dec 21 09:42:03 GMT 2024","API тесты","api.spec.js","",""
"","2794","Тест на авторизацию","chromium","Sat Dec 21 09:42:08 GMT 2024","passed","Sat Dec 21 09:42:11 GMT 2024","E2E тесты","e2e.spec.js","",""
